nomem_encr;cv22n_m1;cv22n_m2;cv22n_m3;cv22n160;cv22n242;cv22n001;cv22n002;cv22n003;cv22n166;cv22n006;cv22n167;cv22n168;cv22n008;cv22n009;cv22n010;cv22n011;cv22n012;cv22n013;cv22n014;cv22n015;cv22n016;cv22n017;cv22n018;cv22n019;cv22n020;cv22n021;cv22n022;cv22n023;cv22n024;cv22n025;cv22n026;cv22n027;cv22n028;cv22n029;cv22n030;cv22n031;cv22n032;cv22n033;cv22n034;cv22n035;cv22n036;cv22n037;cv22n038;cv22n039;cv22n040;cv22n041;cv22n042;cv22n043;cv22n044;cv22n045;cv22n046;cv22n047;cv22n048;cv22n049;cv22n050;cv22n051;cv22n052;cv22n053;cv22n307;cv22n208;cv22n243;cv22n308;cv22n210;cv22n245;cv22n246;cv22n251;cv22n248;cv22n250;cv22n249;cv22n247;cv22n253;cv22n304;cv22n255;cv22n252;cv22n321;cv22n322;cv22n254;cv22n257;cv22n256;cv22n323;cv22n324;cv22n260;cv22n259;cv22n261;cv22n262;cv22n263;cv22n065;cv22n066;cv22n067;cv22n068;cv22n069;cv22n070;cv22n071;cv22n072;cv22n073;cv22n075;cv22n211;cv22n216;cv22n213;cv22n215;cv22n214;cv22n212;cv22n218;cv22n305;cv22n220;cv22n217;cv22n325;cv22n326;cv22n219;cv22n264;cv22n221;cv22n327;cv22n328;cv22n222;cv22n318;cv22n224;cv22n317;cv22n225;cv22n329;cv22n240;cv22n306;cv22n315;cv22n267;cv22n331;cv22n332;cv22n230;cv22n320;cv22n330;cv22n333;cv22n334;cv22n199;cv22n309;cv22n234;cv22n205;cv22n200;cv22n310;cv22n236;cv22n098;cv22n311;cv22n238;cv22n101;cv22n102;cv22n103;cv22n104;cv22n105;cv22n106;cv22n107;cv22n108;cv22n109;cv22n110;cv22n111;cv22n112;cv22n113;cv22n114;cv22n115;cv22n116;cv22n117;cv22n118;cv22n119;cv22n120;cv22n121;cv22n122;cv22n123;cv22n124;cv22n125;cv22n126;cv22n127;cv22n128;cv22n129;cv22n130;cv22n131;cv22n132;cv22n133;cv22n134;cv22n139;cv22n140;cv22n141;cv22n142;cv22n143;cv22n144;cv22n145;cv22n146;cv22n147;cv22n148;cv22n151;cv22n152;cv22n153;cv22n154;cv22n274;cv22n275;cv22n276;cv22n277;cv22n278;cv22n289;cv22n290;cv22n291;cv22n292;cv22n279;cv22n280;cv22n281;cv22n282;cv22n283;cv22n293;cv22n294;cv22n295;cv22n296;cv22n284;cv22n285;cv22n286;cv22n287;cv22n288;cv22n297;cv22n298;cv22n299;cv22n300;cv22n301;cv22n302;cv22n303
800009;202112;202201;202202;66;1;1;1;1;1;0;0; ;1;4;1;4;2;2;5;7;6;1;1;2;5;6;-9;-9;8;10;7;6;7;6;2;4;5;5;1;1;5;5;7;-9;6;8;9;7;7;7;6;1;1;2;1;1;2;1;7; ;100;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;1;0;0; ;1;3;0;1;7;6;6;0;0;6;5;3;0;0;0;0;0;0;4;0;1;8;8;6;0;0;7;-9;3;5;0;0;5;0;2; ; ; ;1;6; ;2; ; ;2;4;5;3;3;2;3;4;4;2;1;4;1;4;4;4;3;4;4;2;3;4;4;3;2;3;5;5;3;4;3;3;3;4;4;4;3;4;1;1;1;1;4;1;3;1;1;1;1;5;1;5;5;2021-12-20;13:04:53;2021-12-20;13:08:02;1;5;1;5;4;2022-01-17;20:27:04;2022-01-17;20:31:41;2;5;2;5;5;2022-02-28;19:32:17;2022-02-28;19:37:13;189;277;296
800015;202112;202201;202202;59;1;2;1;1;0;0;0; ;1;4;2;4;1;7;7;9;7;6;5;6;5;9;1;7;9;9;8;8;7;7;7;7;9;7;5;5;6;5;9;5;7;9;9;8;9;7;7;2;2;2;2;1;2;1;9; ;100;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;1;1;0;1;6;4;5;0;8;1;0;0;0;0;0;6;0;3;3;0;3;6;5;6;0;8;4;6;0;0;0;0;6;0;2; ; ; ;1;9; ;2; ; ;4;5;4;2;2;4;3;1;3;3;1;4;1;5;5;5;3;3;5;1;2;5;2;1;1;3;5;5;5;5;4;3;5;4;5;5;3;3;2;1;1;1;3;1;3;1;1;1;1;5;3;4;1;2021-12-22;22:07:51;2021-12-22;22:12:04;1;5;2;3;1;2022-01-05;22:11:24;2022-01-05;22:16:53;1;5;3;3;1;2022-02-07;21:28:12;2022-02-07;21:35:05;253;329;413
800057;202112;202201;-9;46;2;1;1;1;1;0;0; ;1;4;1;4;1;3;3;8;8;2;2;0;0;6;8;8;8;8;8;7;9;9;3;3;8;8;5;2;0;0;6;8;8;8;8;8;6;8;8;2;2;2;1;1;2;1;17; ;90; ; ; ; ; ; ; ; ; ; ; ; ; ; ;50; ; ; ; ; ;50; ;0;0; ;0;0;1;0;0;0;1;0;0; ;5;1;4;6;6;4;0;3;4;6;1;7;5;0;6;6;0;5;0;5;6;7;5;1;3;6;6;3;7;6;6;-9;6;1;2; ; ; ;1;16; ;2; ; ;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;4;2;3;3;2021-12-20;12:19:40;2021-12-20;12:22:21;2;3;3;3;3;2022-01-18;14:26:19;2022-01-18;14:30:25; ; ; ; ; ; ; ; ; ;161;246; 
800058;202112;-9;202203;-9;-9;2;0;1;0;0;0; ;2;2;2;3;2;6;6;9;8;7;6;8;5;2;10;7;7;9;6;6;7;6;6;6;8;7;6;6;7;6;4;9;7;6;7;6;7;7;7;2;1;2;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;4;3;1;3;1;4;2;2;2;3;2;4;4;4;2;3;2;2;4;5;2;2;1;2;5;5;3;4;3;3;4;3;3;3;2;2;2;2;2;1;4;4;3;1;1;1;4;2;2;3;3;2021-12-28;20:05:47;2021-12-28;20:12:48; ; ; ; ; ; ; ; ; ;4;2;4;4;4;2022-03-25;11:41:20;2022-03-25;14:00:54;421; ;8374
800085;202112;202202;202202;44;2;1;1;0;1;0;0; ;2;2;2;2;2;6;8;8;9;5;6;-9;-9;6;8;8;8;8;6;6;9;9;5;-9;8;8;5;6;-9;-9;6;-9;-9;-9;7;5;7;9;9;1;1;1;2;1;1;1;-9; ;0; ; ;100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;-9;-9;-9;-9;-9;-9;-9;-9;-9; ;0;-9;0;0;-9;-9;0;0;0;-9;-9;10;-9;0;-9;-9;-9;3;8;3;3;-9;-9;0;0;-9;-9;-9;-9;-9;-9;-9;-9;0;2; ; ; ;1;16; ;2; ; ;6;5;3;1;4;3;4;1;4;3;3;4;1;3;3;4;3;3;4;3;2;5;1;2;2;3;4;4;4;4;4;3;4;4;4;4;4;2;2;2;1;1;5;4;3;1;1;1;4;5;3;5;4;2021-12-19;07:17:08;2021-12-19;07:20:47;1;5;1;1;1;2022-02-28;19:15:00;2022-02-28;19:18:21;1;5;1;1;1;2022-02-28;19:01:44;2022-02-28;19:11:54;219;201;610
800100;202112;202201;202202;31;1;4;1;1;0;0;0; ;2;2;2;2;3;5;7;6;4;1;1;0;0;0;-9;8;8;-9;-9;0;10;7;6;5;5;5;1;1;1;1;1;-9;8;9;-9;8;4;7;6;1;1;1;2;1;2;2; ; ;80;15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;2; ; ; ;2; ; ;2; ; ;-9;1;5;1;3;3;1;4;5;1;1;5;1;1;5;5;1;5;5;1;1;5;1;1;5;5;1;1;5;5;5;5;5;5;5;5;2;1;2;1;1;1;5;5;1;1;5;1;1;5;5;5;5;2021-12-13;19:37:32;2021-12-13;19:41:50;1;5;5;5;5;2022-01-24;14:58:52;2022-01-24;15:01:20;1;5;5;5;5;2022-02-16;20:01:26;2022-02-16;20:06:22;258;148;296
800119;202112;202201;202202;71;2;4;-9;-9;-9;-9;-9; ;-9;2;2;3;2;6;7;6;7;6;6;6;5;5;5;7;7;6;6;6;6;5;5;6;6;6;5;6;7;7;7;7;8;7;7;7;7;6;5;1;2;2;2;2;1;-9; ; ;-9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-9;-9;-9;-9;-9;-9;-9;-9;-9; ;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;2; ; ; ;2; ; ;2; ; ;-9;5;5;3;4;1;4;2;4;3;4;4;1;4;4;3;3;1;4;4;3;3;3;2;3;3;4;4;2;3;4;3;4;3;4;4;4;1;3;2;2;2;3;3;4;1;4;2;3;4;4;4;3;2021-12-20;18:56:57;2021-12-20;18:58:50;3;4;4;4;4;2022-01-07;16:43:15;2022-01-07;16:43:52;1;5;5;5;5;2022-02-11;09:13:54;2022-02-11;09:18:58;113;37;304
800127;202112;202201;202202;38;2;1;1;1;0;0;0; ;1;4;1;3;2;1;1;9;8;2;1;5;5;4;9;9;9;9;2;8;9;7;1;1;9;8;2;2;5;5;4;7;8;9;9;1;7;8;6;1;1;1;2;1;1;1;2; ;99; ; ; ; ; ;100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0;0;0;0;0;0;0;0;1; ;4;5;9;4;7;6;7;8;2;3;-9;-9;2;0;2;7;6;8;5;10;6;4;4;7;8;-9;-9;-9;-9;-9;6;-9;-9;0;1;2; ;2; ; ; ;2; ; ;-9;5;3;5;1;3;2;4;4;2;1;3;2;5;5;3;3;1;1;5;1;3;3;1;1;5;5;5;3;5;1;1;1;1;4;4;4;2;1;1;1;1;5;5;1;1;1;1;1;3;2;4;4;2021-12-20;13:21:15;2021-12-20;13:25:32;4;2;3;5;4;2022-01-15;00:25:06;2022-01-15;00:42:45;1;5;3;5;5;2022-02-10;10:26:24;2022-02-10;10:38:18;257;1059;714
800128;202201;-9;-9;-9;-9;3;-9;-9;-9;-9;-9; ;-9;1;3;1;2;5;5;5;5;5;5;5;5;5;6;5;6;5;6;5;6;5;6;5;6;5;6;5;6;5;6;5;6;5;6;5;6;5;6;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;3;3;2022-01-03;15:28:09;2022-01-03;15:32:25; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;256; ; 
800131;202112;202201;202202;67;1;3;1;0;0;0;0; ;2;1;1;1;2;5;5;3;5;5;5;3;5;2;5;3;6;6;6;4;7;3;5;4;3;5;4;4;3;5;1;5;5;5;5;5;5;5;5;1;1;1;2;2;1;1;1; ;100;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;7;4;2;3;3;2;-9;0;7;3;0;0;0;2;2;3;0;8;5;3;5;2;2;3;0;-9;3;-9;1;-9;0;-9;2;0;2; ; ; ;1;1; ;2; ; ;-9;5;5;5;1;3;1;2;4;4;4;4;2;4;4;2;4;2;2;4;2;2;4;3;4;4;4;4;4;4;4;2;4;4;4;4;3;3;2;2;2;2;6;6;3;4;4;2;1;5;1;3;3;2021-12-07;16:55:34;2021-12-07;16:59:53;1;5;1;1;5;2022-01-08;13:03:12;2022-01-08;13:08:00;1;5;1;3;4;2022-02-12;16:17:49;2022-02-12;16:23:43;259;288;354
