nomem_encr;cv23o_m1;cv23o_m2;cv23o_m3;cv23o160;cv23o242;cv23o001;cv23o002;cv23o003;cv23o335;cv23o166;cv23o336;cv23o006;cv23o167;cv23o168;cv23o008;cv23o009;cv23o010;cv23o011;cv23o012;cv23o013;cv23o014;cv23o015;cv23o016;cv23o017;cv23o018;cv23o019;cv23o020;cv23o021;cv23o022;cv23o023;cv23o024;cv23o025;cv23o026;cv23o027;cv23o028;cv23o029;cv23o030;cv23o031;cv23o032;cv23o033;cv23o034;cv23o035;cv23o036;cv23o037;cv23o038;cv23o039;cv23o040;cv23o041;cv23o042;cv23o043;cv23o044;cv23o045;cv23o046;cv23o047;cv23o048;cv23o049;cv23o050;cv23o051;cv23o052;cv23o053;cv23o307;cv23o208;cv23o243;cv23o308;cv23o210;cv23o245;cv23o246;cv23o251;cv23o248;cv23o250;cv23o249;cv23o247;cv23o253;cv23o304;cv23o255;cv23o252;cv23o321;cv23o322;cv23o254;cv23o257;cv23o256;cv23o323;cv23o324;cv23o260;cv23o259;cv23o261;cv23o262;cv23o263;cv23o065;cv23o066;cv23o067;cv23o068;cv23o069;cv23o070;cv23o071;cv23o072;cv23o073;cv23o075;cv23o211;cv23o216;cv23o213;cv23o215;cv23o214;cv23o212;cv23o218;cv23o305;cv23o220;cv23o217;cv23o325;cv23o326;cv23o219;cv23o264;cv23o221;cv23o327;cv23o328;cv23o222;cv23o318;cv23o224;cv23o317;cv23o225;cv23o337;cv23o240;cv23o306;cv23o315;cv23o338;cv23o331;cv23o332;cv23o230;cv23o320;cv23o330;cv23o333;cv23o334;cv23o199;cv23o309;cv23o234;cv23o205;cv23o200;cv23o310;cv23o236;cv23o098;cv23o311;cv23o238;cv23o101;cv23o102;cv23o103;cv23o104;cv23o105;cv23o106;cv23o107;cv23o108;cv23o109;cv23o110;cv23o111;cv23o112;cv23o113;cv23o114;cv23o115;cv23o116;cv23o117;cv23o118;cv23o119;cv23o120;cv23o121;cv23o122;cv23o123;cv23o124;cv23o125;cv23o126;cv23o127;cv23o128;cv23o129;cv23o130;cv23o131;cv23o132;cv23o133;cv23o134;cv23o139;cv23o140;cv23o141;cv23o142;cv23o143;cv23o144;cv23o145;cv23o146;cv23o147;cv23o148;cv23o151;cv23o152;cv23o153;cv23o154;cv23o274;cv23o275;cv23o276;cv23o277;cv23o278;cv23o289;cv23o290;cv23o291;cv23o292;cv23o279;cv23o280;cv23o281;cv23o282;cv23o283;cv23o293;cv23o294;cv23o295;cv23o296;cv23o284;cv23o285;cv23o286;cv23o287;cv23o288;cv23o297;cv23o298;cv23o299;cv23o300;cv23o301;cv23o302;cv23o303
800001;202212;202301;202302;61;2;3;1;1;0;0;0;0;0; ;1;2;1;2;2;4;4;4;4;4;4;4;4;4;6;6;6;6;6;6;6;5;4;4;3;3;4;4;4;4;4;6;6;6;6;6;6;6;6;2;2;2;2;2;1;1;10; ;80; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0; ;0;0;0;0;0;0;0;0;1; ;5;5;3;5;3;5;5;0;5;5;5;4;4;5;6;5;5;5;5;4;5;5;5;5;0;5;5;5;4;4;5;6;5;4;2; ; ; ;2; ; ;2; ; ;4;5;5;4;-9;1;3;2;3;3;4;2;2;3;4;4;4;3;3;3;2;4;2;2;2;3;4;4;3;2;4;2;3;3;4;4;2;2;3;2;2;1;2;4;2;3;2;3;4;2;3;3;3;24-12-2022;14:15:15;24-12-2022;14:30:56;5;2;3;3;2;20-01-2023;19:31:21;27-01-2023;20:13:17;5;2;2;2;2;26-02-2023;20:25:57;26-02-2023;21:04:35;941;607316;2318
800002;202212;202301;202302;46;2;3;1;1;0;0;0;0;0; ;1;2;2;3;2;6;5;9;8;6;7;7;8;7;8;8;7;8;6;8;9;8;6;7;9;8;6;5;7;8;7;7;8;8;7;7;8;8;8;2;2;2;2;2;1;1;8; ;100; ; ; ;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;1; ;7;5;0;7;4;6;7;0;4;10;5;4;8;5;5;5;5;7;6;1;8;3;8;6;0;5;9;5;6;9;6;5;4;5;1;8; ;1; ; ; ;1;8; ;3;2;4;4;3;1;4;2;4;3;3;2;1;3;3;4;4;3;2;2;2;4;4;2;5;2;2;2;2;2;3;4;1;2;4;3;4;2;2;2;2;1;3;2;2;5;2;2;2;4;3;3;3;13-12-2022;22:40:51;13-12-2022;22:48:39;2;4;1;3;3;18-01-2023;20:01:17;18-01-2023;20:13:22;3;4;2;3;3;23-02-2023;06:44:53;23-02-2023;07:10:45;468;725;1552
800009;202212;202301;202302;67;1;3;1;1;0;1;1;0;0; ;1;4;1;4;1;6;7;7;7;4;5;6;6;6;6;7;7;8;7;7;7;7;5;6;6;6;3;3;5;5;6;7;7;8;8;7;7;7;7;1;1;1;2;1;2;1;5; ;95;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;1;0;0; ;3;4;0;3;6;6;7;0;5;5;5;6;4;6;6;6;0;3;3;4;3;7;6;7;0;6;6;6;6;7;7;6;7;0;2; ; ; ;1;5; ;2; ; ;2;3;5;3;4;2;4;3;5;2;3;4;1;5;5;4;3;4;4;2;3;4;3;3;2;3;5;4;2;3;2;2;2;2;4;3;1;1;1;1;1;1;5;1;3;1;1;1;3;3;2;4;4;05-12-2022;16:18:29;05-12-2022;16:22:17;2;5;1;5;5;02-01-2023;15:16:12;02-01-2023;15:20:39;2;5;3;4;4;20-02-2023;14:09:18;20-02-2023;14:14:16;228;267;298
800015;202212;202301;202302;60;2;3;1;1;0;1;0;0;0; ;1;3;1;3;1;8;8;9;7;4;4;5;5;9;0;9;9;9;8;8;8;2;7;7;8;5;4;4;5;5;8;0;8;8;8;7;7;6;0;2;2;2;1;1;2;1;9; ;100; ; ; ; ; ; ; ; ; ;25; ;75; ; ; ; ; ; ; ; ; ; ;0;0; ;0;0;0;0;0;0;0;0;1; ;0;0;0;0;5;3;6;0;10;5;3;0;0;5;1;5;0;0;0;0;0;5;3;5;0;10;5;5;0;0;8;0;6;0;2; ; ; ;1;9; ;2; ; ;2;5;4;1;3;4;3;2;4;2;1;5;1;5;5;5;1;3;5;1;2;5;3;1;1;5;5;4;5;5;5;3;5;3;5;5;3;3;1;1;1;1;4;1;1;1;1;1;1;5;3;3;1;08-12-2022;23:37:13;08-12-2022;23:41:14;1;5;3;3;1;02-01-2023;22:25:31;02-01-2023;22:46:26;1;5;5;5;1;07-02-2023;21:44:32;07-02-2023;21:52:27;241;1255;475
800028;202212;202301;202302;72;2;3;1;1;0;1;0;0;0; ;1;4;2;3;1;7;7;8;8;7;7;6;6;8;7;8;8;8;7;8;8;7;6;6;7;7;6;6;5;6;7;7;7;7;8;7;7;7;7;2;2;2;2;1;2;1;5; ;100; ; ; ; ;10; ; ; ;30;50; ; ; ;10; ; ; ; ; ; ; ; ;0;0; ;0;0;0;0;0;0;1;0;0; ;5;6;1;3;6;7;7;0;6;6;7;3;4;3;4;5;6;6;6;1;2;5;6;6;0;6;6;6;5;5;5;5;5;5;2; ; ; ;1;5; ;2; ; ;3;5;5;2;3;4;2;3;5;1;1;2;1;3;4;5;4;4;5;2;4;4;3;2;1;5;5;4;4;4;2;1;1;1;2;2;3;2;1;1;1;1;4;4;2;1;1;1;1;5;3;3;3;05-12-2022;13:29:22;05-12-2022;13:32:38;1;5;3;4;3;02-01-2023;14:32:26;02-01-2023;14:37:08;1;5;3;4;3;06-02-2023;13:46:12;06-02-2023;13:50:45;196;282;273
800057;-9;-9;202303;-9;-9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;4;5;1;4;3;5;1;1;1;1;1;1;3;4;1;1;5;2;2;5;1;1;5;5;5;4;5;5;4;1;1;1;2;2;2;1;1;1;1;2;2;1;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;4;3;4;3;27-03-2023;19:43:00;27-03-2023;19:47:27; ; ;267
800085;-9;202301;-9;45;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17; ;0; ; ;100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0;0;0;0;0;0;0;0;1; ;1;3;3;3;5;5;3;0;5;8;3;7;6;0;-9;-9;-9;2;5;5;3;4;-9;2;0;-9;9;-9;6;-9;-9;-9;4;0;2; ; ; ;1;8; ;2; ; ;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4;3;2;3;14-01-2023;13:09:35;14-01-2023;13:15:25; ; ; ; ; ; ; ; ; ; ;350; 
800100;202212;202301;202302;32;2;4;0;0;0;0;0;1;0; ;3; ;2; ;2;5;6;6;5;2;5;4;3;3;-9;7;7;6;6;6;10;7;5;4;4;4;4;4;2;1;0;-9;8;8;-9;7;5;8;9;1;1;1;1;1;2;2; ; ;33; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0; ;0;0;0;0;0;0;0;0;1; ;0;7;0;3;4;7;8;0;0;0;0;0;0;7;0;0;0;6;6;0;8;8;8;8;0;6;5;5;5;5;8;6;6;0;2; ; ; ;1;7; ;2; ; ;-9;1;5;1;3;3;4;2;5;1;1;5;3;3;5;5;1;4;5;1;1;5;5;5;1;5;1;5;1;1;5;5;5;1;5;5;5;1;1;1;1;1;5;1;1;1;5;1;1;5;5;5;5;31-12-2022;14:50:00;31-12-2022;14:53:39;1;5;5;5;5;23-01-2023;22:25:14;23-01-2023;22:29:07;1;5;5;5;5;23-02-2023;18:40:00;23-02-2023;18:44:49;219;233;289
800119;202212;202301;202302;72;1;3;-9;-9;-9;-9;-9;-9;-9; ;-9;2;2;2;2;6;7;5;6;7;6;7;8;8;5;6;7;6;6;7;6;6;7;6;7;6;5;6;6;6;6;4;5;6;5;5;6;7;6;2;2;2;2;2;2;-9; ; ;-9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-9;-9;-9;-9;-9;-9;-9;-9;-9; ;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;6;2;7;3;4;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;2; ; ; ;2; ; ;2; ; ;-9;-9;-9;-9;-9;3;2;4;3;4;3;2;3;2;2;3;3;2;3;4;4;3;3;3;4;3;3;4;3;3;3;4;3;3;3;3;4;3;2;2;2;2;3;4;3;4;3;3;2;3;3;3;3;07-12-2022;15:47:52;07-12-2022;15:48:49;1;5;2;2;2;04-01-2023;15:16:47;04-01-2023;15:18:33;3;3;4;3;3;13-02-2023;21:35:02;13-02-2023;21:39:41;57;106;279
800127;202212;202301;202302;39;2;1;1;1;1;0;0;0;0; ;1;3;1;3;1;0;0;8;8;0;0;1;1;2;9;7;7;9;0;3;7;6;0;0;8;8;0;0;1;2;2;8;7;6;9;0;2;8;8;1;1;1;2;1;2;1;2; ;100; ; ; ; ; ;100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0;0;0;0;0;0;0;0;1; ;1;1;9;1;3;3;3;4;1;1;1;1;1;2;2;3;1;4;2;9;6;3;-9;5;6;-9;-9;-9;-9;-9;4;-9;-9;0;1;2; ;3; ; ; ;2; ; ;-9;5;3;3;1;3;1;4;5;3;1;5;1;4;4;5;4;1;1;5;3;3;3;4;1;5;5;4;4;4;1;1;1;3;5;4;4;4;1;1;1;1;5;5;3;5;3;2;1;4;3;5;5;07-12-2022;11:11:36;07-12-2022;11:15:16;1;4;3;4;4;22-01-2023;19:41:07;22-01-2023;19:53:58;1;4;3;4;4;16-02-2023;20:34:57;16-02-2023;20:41:46;220;771;409
